epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,518.906,1.48637,2.26828,1.40827,0.30619,0.24841,0.19659,0.09775,1.77048,2.97028,1.62039,0.00132233,0.00132233,0.00132233
1,256.767,1.6493,3.1817,1.47338,0.00575,0.47867,0.16332,0.08395,1.48503,3.54892,1.33575,0.000463102,0.000463102,0.000463102
4,741.334,1.54656,2.26252,1.42962,0.20547,0.41655,0.20929,0.10289,1.73394,3.32537,1.66759,0.00128753,0.00128753,0.00128753
2,468.559,1.51141,2.48565,1.39556,0.22487,0.16171,0.18725,0.09343,1.61029,3.24812,1.54378,0.000908434,0.000908434,0.000908434
3,612.764,1.48637,2.26828,1.40827,0.30619,0.24841,0.19659,0.09775,1.77048,2.97028,1.62039,0.00132233,0.00132233,0.00132233
4,757.268,1.54656,2.26252,1.42962,0.20547,0.41655,0.20929,0.10289,1.73394,3.32537,1.66759,0.00128753,0.00128753,0.00128753
5,894.262,1.50493,2.15368,1.38933,0.305,0.34508,0.26205,0.12752,1.73453,2.75581,1.57764,0.00124037,0.00124037,0.00124037
6,1031.44,1.47043,2.09126,1.37447,0.30336,0.34918,0.24758,0.12701,1.74431,2.49219,1.52306,0.00119322,0.00119322,0.00119322
7,1170.33,1.43241,2.0252,1.35605,0.32674,0.45414,0.34639,0.19463,1.50249,2.46576,1.4123,0.00114606,0.00114606,0.00114606
8,1308.99,1.41761,1.91692,1.34632,0.34502,0.40023,0.32409,0.18413,1.48092,2.29875,1.40175,0.0010989,0.0010989,0.0010989
9,1447.57,1.3802,1.82924,1.31557,0.40987,0.39125,0.35674,0.20177,1.4507,2.08586,1.34268,0.00105174,0.00105174,0.00105174
10,1585.8,1.40513,1.80462,1.29576,0.38296,0.47792,0.40253,0.24887,1.40519,2.02033,1.34706,0.00100459,0.00100459,0.00100459
11,1723.86,1.35508,1.78392,1.31128,0.39183,0.46541,0.38856,0.22661,1.38622,2.0479,1.30225,0.00095743,0.00095743,0.00095743
12,1861.51,1.33626,1.67243,1.27666,0.43836,0.45136,0.40751,0.22859,1.43512,1.97624,1.35185,0.000910273,0.000910273,0.000910273
13,1999.63,1.32277,1.66449,1.27527,0.3862,0.46051,0.39593,0.23086,1.43523,1.94962,1.34868,0.000863116,0.000863116,0.000863116
14,2137.03,1.27517,1.56773,1.24401,0.51029,0.4801,0.45787,0.26963,1.38403,1.84238,1.32871,0.000815959,0.000815959,0.000815959
15,2274.09,1.2943,1.60644,1.27636,0.38294,0.50479,0.43721,0.25618,1.41775,1.81888,1.31949,0.000768802,0.000768802,0.000768802
16,2411.21,1.22962,1.53628,1.24135,0.40977,0.49739,0.42578,0.24944,1.41448,1.88082,1.32461,0.000721645,0.000721645,0.000721645
17,2547.68,1.23888,1.50498,1.23535,0.48698,0.486,0.46679,0.27706,1.44048,1.7593,1.34818,0.000674488,0.000674488,0.000674488
18,2684.24,1.25504,1.46787,1.24525,0.47322,0.42035,0.43054,0.25809,1.38927,1.91822,1.30396,0.000627331,0.000627331,0.000627331
19,2821.38,1.22226,1.42444,1.20335,0.44334,0.50051,0.4475,0.27269,1.36815,1.73664,1.30252,0.000580174,0.000580174,0.000580174
20,2957.63,1.20956,1.43184,1.2072,0.46894,0.47302,0.45767,0.28659,1.33352,1.71074,1.27895,0.000533017,0.000533017,0.000533017
21,3092.32,1.16136,1.46031,1.18413,0.47324,0.51485,0.46779,0.2832,1.37562,1.73343,1.30871,0.00048586,0.00048586,0.00048586
22,3227.71,1.11026,1.33562,1.169,0.48621,0.52064,0.48375,0.29212,1.33296,1.72745,1.28252,0.000438703,0.000438703,0.000438703
23,3362.82,1.08824,1.30476,1.14682,0.45827,0.50831,0.46785,0.29201,1.3651,1.65629,1.30115,0.000391546,0.000391546,0.000391546
24,3498.14,1.07855,1.26284,1.13361,0.46962,0.48491,0.45802,0.27955,1.34302,1.72067,1.30333,0.000344389,0.000344389,0.000344389
25,3632.71,1.05378,1.19477,1.12891,0.46618,0.53698,0.47664,0.29114,1.32439,1.6614,1.2905,0.000297232,0.000297232,0.000297232
26,3767.65,1.04781,1.17023,1.11768,0.50353,0.52439,0.48141,0.29286,1.33547,1.65215,1.28335,0.000250075,0.000250075,0.000250075
27,3902.79,1.01754,1.11823,1.1053,0.51602,0.45703,0.46084,0.28616,1.32646,1.71668,1.28818,0.000202918,0.000202918,0.000202918
28,4037.11,1.00175,1.09848,1.09735,0.49891,0.54317,0.49501,0.30078,1.34269,1.5928,1.2959,0.000155761,0.000155761,0.000155761
29,4171.44,0.98406,1.09578,1.08503,0.46768,0.55491,0.47933,0.2998,1.33473,1.63341,1.29432,0.000108604,0.000108604,0.000108604
30,4305.57,0.96989,1.04344,1.07499,0.48195,0.55957,0.49471,0.30736,1.3297,1.59839,1.29077,6.1447e-05,6.1447e-05,6.1447e-05
